Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-12-12 00:00:00-05:00,100.87144648770833,101.48533275011552,100.39398517687829,100.51091766357422,4961600,0.0,0.0
2025-12-15 00:00:00-05:00,100.5791286598776,100.90068742979736,99.47803482970342,100.16987609863281,7624200,0.0,0.0
2025-12-16 00:00:00-05:00,100.3647568552758,100.63759189803216,99.3123867467607,99.9165267944336,5696400,0.0,0.0
2025-12-17 00:00:00-05:00,99.60470963306321,101.14428722768798,99.5754783704382,100.30628967285156,6576200,0.0,0.0
2025-12-18 00:00:00-05:00,100.0334588077102,100.04319760619268,98.66927616623394,98.91287994384766,7977900,0.0,0.0
2025-12-19 00:00:00-05:00,98.94211136224796,99.02980515391117,97.65588371180621,98.07488250732422,7700200,0.0,0.0
2025-12-22 00:00:00-05:00,97.70460367520413,98.01641622537588,97.05174730987542,97.22714233398438,4804300,0.0,0.0
2025-12-23 00:00:00-05:00,97.1491846569928,97.99692848915828,97.05174463166512,97.54869842529297,3689200,0.0,0.0
2025-12-24 00:00:00-05:00,97.5292049128633,98.54259752062818,97.49997364899849,98.49388122558594,1200100,0.0,0.0
2025-12-26 00:00:00-05:00,98.58157285332847,99.14673538963393,98.12359657163944,98.41592407226562,2673500,0.0,0.0
2025-12-29 00:00:00-05:00,98.41592864752725,98.92262124674485,98.18207109667279,98.44515991210938,3202600,0.0,0.0
2025-12-30 00:00:00-05:00,98.2210476185944,99.12725398262668,97.94820513874379,98.97134399414062,3115500,0.0,0.0
2025-12-31 00:00:00-05:00,98.72773749828534,99.05904249761035,98.28925367756979,98.3087387084961,2808100,0.0,0.0
2026-01-02 00:00:00-05:00,98.60106829713664,99.37085713345786,97.69486193885442,98.80569458007812,4347900,0.0,0.0
2026-01-05 00:00:00-05:00,98.63029930220972,98.63029930220972,95.15163763294576,95.5608901977539,9673200,0.0,0.0
2026-01-06 00:00:00-05:00,95.59986777419613,96.01886657209575,95.07368271863399,95.14189147949219,5526500,0.0,0.0
2026-01-07 00:00:00-05:00,95.03470306278207,95.61935063316966,93.7971991626983,95.06393432617188,5871000,0.0,0.0
2026-01-08 00:00:00-05:00,94.99572598850747,97.04199621104513,94.81059217481796,96.34042358398438,5797700,0.0,0.0
2026-01-09 00:00:00-05:00,96.17476885739916,96.55479015743663,95.1808687113467,95.41472625732422,7054600,0.0,0.0
2026-01-12 00:00:00-05:00,95.37574653111159,97.28559921937723,95.2783065087485,95.75576782226562,7202200,0.0,0.0
2026-01-13 00:00:00-05:00,95.98963748956862,96.88609763384922,95.30754243128749,96.20401000976562,6483900,0.0,0.0
2026-01-14 00:00:00-05:00,96.0578420538516,96.98353342239388,95.93116333334565,96.6132583618164,5552300,0.0,0.0
2026-01-15 00:00:00-05:00,96.4865824424356,98.58157644880637,96.1260536039375,97.84102630615234,5939100,0.0,0.0
2026-01-16 00:00:00-05:00,97.5389503670873,97.6948603520517,96.03835021569243,96.7789077758789,6728900,0.0,0.0
2026-01-20 00:00:00-05:00,96.57428517399929,98.94211426288783,95.77526505612154,98.88365173339844,9043800,0.0,0.0
2026-01-21 00:00:00-05:00,98.83492744397044,99.18571748731884,96.89584340682605,97.46099853515625,6802300,0.0,0.0
2026-01-22 00:00:00-05:00,97.10046244963476,99.83856639588446,96.77890369485326,99.57547760009766,6491800,0.0,0.0
2026-01-23 00:00:00-05:00,99.57547868173694,99.8872912077069,98.86415240745079,99.61445617675781,4246600,0.0,0.0
2026-01-26 00:00:00-05:00,99.68267039076305,100.33552674115437,97.65588514392093,98.5523452758789,8808700,0.0,0.0
2026-01-27 00:00:00-05:00,99.87754476773179,100.4621923234352,97.58767083794514,98.06513214111328,9529400,0.0,0.0
2026-01-28 00:00:00-05:00,98.26001365405811,98.70825113548456,95.8726996682461,96.99327850341797,6778900,0.0,0.0
2026-01-29 00:00:00-05:00,97.14918844663173,97.35382217225894,95.52191691416996,96.13580322265625,8043900,0.0,0.0
2026-01-30 00:00:00-05:00,96.6035113562658,97.82153021786306,95.63884249945598,97.4317626953125,10270500,0.0,0.0
2026-02-02 00:00:00-05:00,97.8702524758632,98.07487874943412,96.1065561355094,96.95429992675781,6355500,0.0,0.0
2026-02-03 00:00:00-05:00,96.53530033917212,98.94210674285839,96.23323404750522,98.19180297851562,5877500,0.0,0.0
2026-02-04 00:00:00-05:00,98.6497827748194,101.3099392724363,98.63029774384003,100.56938171386719,8049900,0.0,0.0
2026-02-05 00:00:00-05:00,101.30994039287235,102.11870672010964,99.53650518624688,101.59252166748047,7461100,0.0,0.0
2026-02-06 00:00:00-05:00,101.33916968963656,102.35256227863658,101.00787212637356,101.66072845458984,5233200,0.0,0.0
2026-02-09 00:00:00-05:00,101.53404795511801,102.29409795919537,100.96889286097435,102.02125549316406,3899500,0.0,0.0
2026-02-10 00:00:00-05:00,102.40127747671158,104.15522759932207,102.1187036448105,103.17106628417969,6336000,0.0,0.0
2026-02-11 00:00:00-05:00,102.88848476417765,105.07117989675037,101.84586092558689,104.84706115722656,5644900,0.0,0.0
2026-02-12 00:00:00-05:00,104.70089968177459,107.94570375395458,104.53525089872807,105.49018096923828,6670600,0.0,0.0
2026-02-13 00:00:00-05:00,105.9091758835441,107.00051599938288,105.20759584667805,106.61075592041016,5233700,0.0,0.0
2026-02-17 00:00:00-05:00,106.9030831495256,107.3025969217237,104.46704532157852,104.76911163330078,4213900,0.0,0.0
2026-02-18 00:00:00-05:00,104.76911350679669,107.86775397672358,104.53525595270717,107.08822631835938,5742700,0.0,0.0
2026-02-19 00:00:00-05:00,106.76666582430859,107.50722340695602,105.04195430996378,105.8994369506836,4063100,0.0,0.0
2026-02-20 00:00:00-05:00,105.9968706131126,106.80563690914325,105.61684932879884,106.23072814941406,4872800,0.0,0.0
2026-02-23 00:00:00-05:00,105.850712000701,107.97493726351017,105.37325067261287,107.6826171875,5238300,0.0,0.0
2026-02-24 00:00:00-05:00,107.62414776780258,108.55959283150631,107.11745517297739,108.26726531982422,3907300,0.0,0.0
2026-02-25 00:00:00-05:00,107.95544828683063,108.26726081703123,105.43170934791569,106.4158706665039,5370000,0.0,0.0
2026-02-26 00:00:00-05:00,106.97129113308883,107.77031123747443,106.52306106811129,107.55593872070312,5375200,0.0,0.0
2026-02-27 00:00:00-05:00,107.67286883575879,108.9590964738045,107.19540751706687,108.58882141113281,4413000,0.0,0.0
2026-03-02 00:00:00-05:00,107.84825689864705,107.94569691578427,106.6010068372183,106.93230438232422,3075100,0.0,0.0
2026-03-03 00:00:00-05:00,106.25996543259532,106.35740545190808,101.53404643685862,101.9627914428711,6364400,0.0,0.0
2026-03-04 00:00:00-05:00,102.29409509521052,102.79104141748233,100.77400256381173,102.05049133300781,5415800,0.0,0.0
2026-03-05 00:00:00-05:00,101.495079792543,102.35256239923156,100.37450094723825,102.22589111328125,6272000,0.0,0.0
2026-03-06 00:00:00-05:00,101.60442334165724,103.39976333655633,100.31217531719221,103.16301727294922,5063200,1.28,0.0
2026-03-09 00:00:00-04:00,102.15683818109098,102.17657141084086,100.53905953861262,101.45645904541016,5291500,0.0,0.0
2026-03-10 00:00:00-04:00,101.48604708325232,101.63401619604699,99.65124814705051,100.33190155029297,4168800,0.0,0.0
2026-03-11 00:00:00-04:00,100.33190308227506,100.33190308227506,97.96441981947602,98.68453216552734,4245200,0.0,0.0
2026-03-12 00:00:00-04:00,98.15185123569752,99.31586344084013,96.40583669099462,96.49461364746094,5602600,0.0,0.0
2026-03-13 00:00:00-04:00,97.54024475967074,98.42805191538213,97.34295762552233,97.50078582763672,3651100,0.0,0.0
2026-03-16 00:00:00-04:00,98.20117119198368,99.01006047315167,97.6388945883184,98.90155029296875,3407100,0.0,0.0
2026-03-17 00:00:00-04:00,99.42437337823011,100.32203965968175,98.90155567762326,99.11857604980469,3465000,0.0,0.0
2026-03-18 00:00:00-04:00,98.09266149032035,98.09266149032035,96.49460862293938,97.38241577148438,4352500,0.0,0.0
2026-03-19 00:00:00-04:00,97.1358059172068,97.90523629297803,96.22827303942647,97.24431610107422,5110000,0.0,0.0
2026-03-20 00:00:00-04:00,97.58957342164203,98.25049362076219,96.47488677867719,96.86946105957031,13109700,0.0,0.0
2026-03-23 00:00:00-04:00,98.33927740178699,99.27640260126674,97.22458324073924,98.10252380371094,5634500,0.0,0.0
2026-03-24 00:00:00-04:00,97.24431464937325,98.81276769564292,96.49460998821438,97.57970428466797,5254100,0.0,0.0
