Date,Close,High,Low,Open,Volume,Dividends,Stock Splits
2026-03-17 00:00:00-04:00,,,,,0,0.063,0.0
2026-03-18 00:00:00-04:00,264.5900573730469,274.60553706113564,264.42015147828465,271.50693549994304,6673800,0.0,0.0
2026-03-19 00:00:00-04:00,269.0480651855469,270.97819009646014,255.92400888888994,258.32291546129534,7084600,0.0,0.0
2026-03-20 00:00:00-04:00,255.76406860351562,272.7163756820552,255.3942258749733,268.49828649523835,87826600,0.0,0.0
2026-03-23 00:00:00-04:00,255.88401794433594,271.75682831304584,255.00441175205196,258.87765616429533,8888100,0.0,0.0
2026-03-24 00:00:00-04:00,270.76727294921875,270.7872529057627,251.03619650513482,255.88400504521815,6843000,0.0,0.0
2026-03-25 00:00:00-04:00,276.0348815917969,281.9221970993988,273.8758565802035,276.67457575981456,5929000,0.0,0.0
2026-03-26 00:00:00-04:00,252.28564453125,274.0357959634187,252.28564453125,273.6859484295415,6621700,0.0,0.0
2026-03-27 00:00:00-04:00,250.9562530517578,256.7236278109062,248.38741014106859,249.84675535815526,5444500,0.0,0.0
2026-03-30 00:00:00-04:00,234.1138916015625,255.3342694196606,231.59502897666448,253.59506745998507,6930400,0.0,0.0
2026-03-31 00:00:00-04:00,250.4664764404297,250.8862843290021,232.89443923767925,232.89443923767925,6686100,0.0,0.0
2026-04-01 00:00:00-04:00,259.2524719238281,265.4296643818206,256.8835506756296,256.8835506756296,5112600,0.0,0.0
2026-04-02 00:00:00-04:00,261.171630859375,266.87903539742285,247.80267516390145,249.00713106773668,3965500,0.0,0.0
2026-04-06 00:00:00-04:00,258.61279296875,266.4042443502664,258.4728417541579,262.81087185023114,3305700,0.0,0.0
2026-04-07 00:00:00-04:00,262.1811218261719,262.3610634387767,251.89579163594914,256.8535506333817,2937200,0.0,0.0
2026-04-08 00:00:00-04:00,280.9026794433594,285.4706163469815,273.2561513410858,279.74320131552247,5696700,0.0,0.0
2026-04-09 00:00:00-04:00,287.50970458984375,290.86816776136965,280.84271288995086,280.8626928479649,5166400,0.0,0.0
2026-04-10 00:00:00-04:00,294.9762878417969,297.42519008797547,289.16892246186154,289.61873079401755,4644800,0.0,0.0
