Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-10 00:00:00-04:00,73.97000122070312,74.12000274658203,72.18000030517578,72.36000061035156,17581500,0.0,0.0
2026-03-11 00:00:00-04:00,74.54000091552734,75.5999984741211,73.55000305175781,74.97000122070312,21010800,0.0,0.0
2026-03-12 00:00:00-04:00,74.87000274658203,75.8499984741211,72.58999633789062,72.97000122070312,17082700,0.0,0.0
2026-03-13 00:00:00-04:00,73.29499816894531,74.87000274658203,72.69000244140625,73.33000183105469,16400700,0.0,0.0
2026-03-16 00:00:00-04:00,74.0,75.37999725341797,74.0,74.66000366210938,15997300,0.0,0.0
2026-03-17 00:00:00-04:00,77.38999938964844,79.2300033569336,77.30999755859375,77.79000091552734,33146100,0.0,0.0
2026-03-18 00:00:00-04:00,77.43000030517578,77.68000030517578,76.4800033569336,76.66000366210938,13692700,0.0,0.0
2026-03-19 00:00:00-04:00,76.4800033569336,77.84500122070312,75.31999969482422,75.33999633789062,13791600,0.0,0.0
2026-03-20 00:00:00-04:00,74.9800033569336,74.9800033569336,73.04000091552734,73.88999938964844,26161200,0.0,0.0
2026-03-23 00:00:00-04:00,75.2699966430664,75.81999969482422,74.44000244140625,75.12000274658203,14154700,0.0,0.0
2026-03-24 00:00:00-04:00,74.62999725341797,75.01000213623047,72.1449966430664,72.33999633789062,14404200,0.0,0.0
2026-03-25 00:00:00-04:00,73.0,73.83999633789062,72.19000244140625,73.08000183105469,11569300,0.0,0.0
2026-03-26 00:00:00-04:00,72.73999786376953,72.76499938964844,70.19999694824219,70.55000305175781,15412900,0.0,0.0
2026-03-27 00:00:00-04:00,70.11000061035156,70.37999725341797,68.45999908447266,69.18000030517578,13869700,0.0,0.0
2026-03-30 00:00:00-04:00,69.70999908447266,70.5,68.83999633789062,69.91000366210938,13873500,0.0,0.0
2026-03-31 00:00:00-04:00,70.70999908447266,72.05000305175781,70.20999908447266,71.93000030517578,15886600,0.0,0.0
2026-04-01 00:00:00-04:00,72.43000030517578,72.69999694824219,70.80999755859375,71.70999908447266,13035000,0.0,0.0
2026-04-02 00:00:00-04:00,70.91000366210938,71.97000122070312,69.77999877929688,71.83999633789062,12758500,0.0,0.0
2026-04-06 00:00:00-04:00,71.62000274658203,72.77999877929688,71.40499877929688,72.16999816894531,7751400,0.0,0.0
2026-04-07 00:00:00-04:00,71.77999877929688,72.55999755859375,71.11000061035156,71.7300033569336,9686300,0.0,0.0
2026-04-08 00:00:00-04:00,75.0,75.43000030517578,72.06999969482422,72.37999725341797,13559900,0.0,0.0
2026-04-09 00:00:00-04:00,72.1500015258789,72.3499984741211,70.01499938964844,71.80999755859375,16500000,0.0,0.0
2026-04-10 00:00:00-04:00,72.31999969482422,72.87999725341797,70.04000091552734,70.4800033569336,11818200,0.0,0.0
2026-04-13 00:00:00-04:00,70.06999969482422,72.80999755859375,69.81999969482422,72.33999633789062,12690600,0.0,0.0
2026-04-14 00:00:00-04:00,73.16500091552734,73.94999694824219,72.23999786376953,72.91000366210938,16750300,0.0,0.0
2026-04-15 00:00:00-04:00,73.86000061035156,77.93000030517578,73.79399871826172,77.27999877929688,19696000,0.0,0.0
2026-04-16 00:00:00-04:00,77.51000213623047,78.05000305175781,76.36499786376953,76.4800033569336,12771700,0.0,0.0
2026-04-17 00:00:00-04:00,77.41500091552734,78.72000122070312,76.61000061035156,77.12000274658203,16966600,0.0,0.0
2026-04-20 00:00:00-04:00,76.66999816894531,77.70500183105469,75.69999694824219,77.48999786376953,11507400,0.0,0.0
2026-04-21 00:00:00-04:00,78.0,78.76000213623047,77.03800201416016,77.26000213623047,11698100,0.0,0.0
2026-04-22 00:00:00-04:00,77.69999694824219,77.97000122070312,75.0999984741211,75.58000183105469,14133000,0.0,0.0
2026-04-23 00:00:00-04:00,76.66000366210938,77.177001953125,73.75,74.69999694824219,18671000,0.0,0.0
2026-04-24 00:00:00-04:00,74.7699966430664,74.7699966430664,73.52999877929688,74.63999938964844,13007200,0.0,0.0
2026-04-27 00:00:00-04:00,74.67500305175781,76.94999694824219,74.66999816894531,76.2699966430664,14670000,0.0,0.0
2026-04-28 00:00:00-04:00,75.69999694824219,76.66000366210938,74.08999633789062,74.11000061035156,14039000,0.0,0.0
2026-04-29 00:00:00-04:00,73.66999816894531,74.7300033569336,72.77999877929688,74.47000122070312,11751800,0.0,0.0
2026-04-30 00:00:00-04:00,74.31999969482422,75.0199966430664,73.04000091552734,74.61000061035156,16067000,0.0,0.0
2026-05-01 00:00:00-04:00,75.11000061035156,75.66000366210938,74.58100128173828,75.12000274658203,10867400,0.0,0.0
2026-05-04 00:00:00-04:00,74.92500305175781,75.32099914550781,73.5199966430664,73.93000030517578,13868400,0.0,0.0
2026-05-05 00:00:00-04:00,74.25,74.80000305175781,72.66999816894531,72.94999694824219,27424000,0.0,0.0
2026-05-06 00:00:00-04:00,77.45999908447266,80.11000061035156,76.69999694824219,79.16999816894531,35783000,0.0,0.0
2026-05-07 00:00:00-04:00,79.82499694824219,80.83000183105469,76.30000305175781,76.7300033569336,26972300,0.0,0.0
2026-05-08 00:00:00-04:00,77.05000305175781,77.05000305175781,74.4020004272461,75.44999694824219,16230600,0.0,0.0
2026-05-11 00:00:00-04:00,75.5,77.01599884033203,75.0999984741211,76.1500015258789,18996400,0.0,0.0
2026-05-12 00:00:00-04:00,76.19999694824219,76.83000183105469,74.41000366210938,76.36000061035156,17241000,0.0,0.0
2026-05-13 00:00:00-04:00,75.5999984741211,76.05000305175781,74.0199966430664,74.69999694824219,14055200,0.0,0.0
2026-05-14 00:00:00-04:00,74.66500091552734,75.29000091552734,72.875,74.69000244140625,17329500,0.0,0.0
2026-05-15 00:00:00-04:00,74.30999755859375,75.56500244140625,73.62999725341797,75.08999633789062,16394100,0.0,0.0
2026-05-18 00:00:00-04:00,74.88999938964844,75.97000122070312,74.2300033569336,75.08000183105469,17776200,0.0,0.0
2026-05-19 00:00:00-04:00,75.48999786376953,76.01000213623047,73.95999908447266,74.08999633789062,17419900,0.0,0.0
2026-05-20 00:00:00-04:00,73.80000305175781,74.89399719238281,72.52999877929688,74.5999984741211,12764800,0.0,0.0
2026-05-21 00:00:00-04:00,74.24500274658203,74.61000061035156,72.9000015258789,73.61000061035156,13238700,0.0,0.0
2026-05-22 00:00:00-04:00,73.8499984741211,74.97000122070312,71.31999969482422,71.81999969482422,19689000,0.0,0.0
2026-05-26 00:00:00-04:00,71.73999786376953,71.83000183105469,69.9000015258789,70.12000274658203,23281200,0.0,0.0
2026-05-27 00:00:00-04:00,69.8499984741211,70.94000244140625,69.5999984741211,70.7300033569336,23148200,0.0,0.0
2026-05-28 00:00:00-04:00,70.16999816894531,71.13999938964844,69.58000183105469,70.91999816894531,19139100,0.0,0.0
2026-05-29 00:00:00-04:00,70.6500015258789,72.23999786376953,69.95999908447266,70.4000015258789,50294700,0.0,0.0
2026-06-01 00:00:00-04:00,71.33000183105469,74.55500030517578,71.33000183105469,73.7699966430664,24119800,0.0,0.0
2026-06-02 00:00:00-04:00,72.5999984741211,73.12999725341797,71.31500244140625,71.62000274658203,16657700,0.0,0.0
2026-06-03 00:00:00-04:00,71.1500015258789,71.875,70.3550033569336,71.69000244140625,17348400,0.0,0.0
2026-06-04 00:00:00-04:00,72.6500015258789,73.54000091552734,71.7249984741211,72.20999908447266,17576600,0.0,0.0
2026-06-05 00:00:00-04:00,71.83999633789062,72.52999877929688,70.30999755859375,70.70999908447266,18532300,0.0,0.0
2026-06-08 00:00:00-04:00,70.41000366210938,70.93499755859375,69.97000122070312,70.05999755859375,18636000,0.0,0.0
2026-06-09 00:00:00-04:00,70.2750015258789,71.44999694824219,69.5,70.37999725341797,20029600,0.0,0.0
2026-06-10 00:00:00-04:00,69.69999694824219,70.375,68.61000061035156,68.61000061035156,21908800,0.0,0.0
2026-06-11 00:00:00-04:00,68.2249984741211,69.56500244140625,67.19000244140625,69.55000305175781,24995400,0.0,0.0
2026-06-12 00:00:00-04:00,70.0199966430664,70.2300033569336,67.4000015258789,68.8499984741211,19678100,0.0,0.0
2026-06-15 00:00:00-04:00,70.62000274658203,73.4800033569336,70.45999908447266,72.8499984741211,24748700,0.0,0.0
2026-06-16 00:00:00-04:00,73.27999877929688,74.28500366210938,72.7699966430664,73.25,17514600,0.0,0.0
2026-06-17 00:00:00-04:00,72.87999725341797,73.2699966430664,70.88999938964844,70.91000366210938,16144400,0.0,0.0
2026-06-18 00:00:00-04:00,71.97000122070312,72.48999786376953,70.77999877929688,71.63999938964844,27203300,0.0,0.0
2026-06-22 00:00:00-04:00,71.45999908447266,72.44999694824219,70.8499984741211,71.43000030517578,21887100,0.0,0.0
2026-06-23 00:00:00-04:00,71.08000183105469,71.55500030517578,69.56500244140625,69.66999816894531,20733900,0.0,0.0
2026-06-24 00:00:00-04:00,70.30000305175781,75.73999786376953,69.69999694824219,73.8499984741211,34823300,0.0,0.0
2026-06-25 00:00:00-04:00,74.26000213623047,74.55000305175781,72.11000061035156,72.25,14682100,0.0,0.0
2026-06-26 00:00:00-04:00,72.69999694824219,76.38999938964844,72.44999694824219,76.19999694824219,64581200,0.0,0.0
2026-06-29 00:00:00-04:00,76.0,77.76000213623047,74.19999694824219,75.5,26220700,0.0,0.0
2026-06-30 00:00:00-04:00,74.77999877929688,75.02999877929688,71.81999969482422,72.16000366210938,27806100,0.0,0.0
2026-07-01 00:00:00-04:00,72.2300033569336,73.80000305175781,71.66000366210938,72.66000366210938,12648000,0.0,0.0
2026-07-02 00:00:00-04:00,72.79000091552734,74.51000213623047,72.33000183105469,74.43000030517578,14087900,0.0,0.0
2026-07-06 00:00:00-04:00,74.15499877929688,74.55999755859375,71.86000061035156,72.41999816894531,15821500,0.0,0.0
2026-07-07 00:00:00-04:00,73.58999633789062,74.8499984741211,73.31999969482422,74.33000183105469,15615600,0.0,0.0
2026-07-08 00:00:00-04:00,73.51000213623047,74.7699966430664,72.58000183105469,73.5999984741211,12612900,0.0,0.0
2026-07-09 00:00:00-04:00,72.5,74.36000061035156,72.30999755859375,74.3499984741211,9895500,0.0,0.0
2026-07-10 00:00:00-04:00,74.9800033569336,76.20999908447266,74.4800033569336,74.54000091552734,9766800,0.0,0.0
2026-07-13 00:00:00-04:00,75.06999969482422,76.30000305175781,73.87000274658203,74.26000213623047,12458500,0.0,0.0
2026-07-14 00:00:00-04:00,73.55999755859375,74.19999694824219,71.23999786376953,72.08000183105469,18703500,0.0,0.0
2026-07-15 00:00:00-04:00,72.52999877929688,73.96299743652344,72.19999694824219,72.66999816894531,13876600,0.0,0.0
2026-07-16 00:00:00-04:00,73.67500305175781,75.4000015258789,72.62000274658203,74.04000091552734,17903600,0.0,0.0
