Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-18 00:00:00-04:00,4.981250750021913,5.100324360024875,4.891945305941459,4.9018683433532715,72400,0.0,0.0
2025-08-19 00:00:00-04:00,4.91179079186255,4.961405031439527,4.8720995894635495,4.921713829040527,37400,0.0,0.0
2025-08-20 00:00:00-04:00,4.931636693581159,4.971328371555305,4.901868526546154,4.95148229598999,25500,0.0,0.0
2025-08-21 00:00:00-04:00,4.9415592376358335,5.011019075705016,4.862176835931874,4.87209939956665,24800,0.0,0.0
2025-08-22 00:00:00-04:00,4.891945165350522,5.1300928516687225,4.882022601380343,5.090401649475098,56700,0.0,0.0
2025-08-25 00:00:00-04:00,5.070555838507971,5.090401438783374,4.961404800415039,4.961404800415039,37100,0.0,0.0
2025-08-26 00:00:00-04:00,4.9614046862834185,5.040787085558925,4.9614046862834185,4.981250286102295,49000,0.0,0.0
2025-08-27 00:00:00-04:00,4.971328211145734,5.080478784294109,4.971328211145734,5.060633182525635,36300,0.0,0.0
2025-08-28 00:00:00-04:00,5.070556163787842,5.1499385699818925,5.050710562239329,5.070556163787842,33100,0.0,0.0
2025-08-29 00:00:00-04:00,5.080478536718109,5.090401573697022,5.001096133512583,5.020941734313965,24900,0.0,0.0
2025-09-02 00:00:00-04:00,5.0209420109864595,5.0209420109864595,4.872099760196116,4.8919453620910645,24300,0.0,0.0
2025-09-03 00:00:00-04:00,4.8621768177904885,4.931636182444072,4.703411541818506,4.792716979980469,71000,0.0,0.0
2025-09-04 00:00:00-04:00,4.822485598487219,4.961404800415039,4.802639998211816,4.961404800415039,52900,0.0,0.0
2025-09-05 00:00:00-04:00,4.991173684575846,5.0804786536594415,4.961405046110342,5.001096248626709,44600,0.0,0.0
2025-09-08 00:00:00-04:00,5.0209417938289995,5.040787394865618,4.981250591755763,5.011019229888916,48700,0.0,0.0
2025-09-09 00:00:00-04:00,4.981250936181479,5.020942140999141,4.941559731363816,4.95148229598999,31200,0.0,0.0
2025-09-10 00:00:00-04:00,4.971327798863313,4.981250362346417,4.802639961242676,4.802639961242676,58500,0.0,0.0
2025-09-11 00:00:00-04:00,4.802640163805911,4.971328008541376,4.802640163805911,4.931636333465576,28300,0.0,0.0
2025-09-12 00:00:00-04:00,4.9415591014600855,4.951481664821423,4.792716865788625,4.812562465667725,24600,0.0,0.0
2025-09-15 00:00:00-04:00,4.832408372306673,4.961405016287702,4.822485808315453,4.842331409454346,39300,0.0,0.0
2025-09-16 00:00:00-04:00,4.842331479367574,5.070556132338157,4.772871637800367,4.91179084777832,88000,0.0,0.0
2025-09-17 00:00:00-04:00,4.9514821362207915,5.060633182525635,4.941559571914789,5.060633182525635,91300,0.0,0.0
2025-09-18 00:00:00-04:00,5.060633026129686,5.179706633060631,5.060633026129686,5.169784069061279,98600,0.0,0.0
2025-09-19 00:00:00-04:00,5.159861381672302,5.169784419500751,5.060633369170236,5.110247611999512,189000,0.0,0.0
2025-09-22 00:00:00-04:00,5.070556406998685,5.149938817000338,5.020942164169409,5.110247611999512,68900,0.0,0.0
2025-09-23 00:00:00-04:00,5.149938392641169,5.179706557360624,5.09040159004581,5.1003241539001465,129300,0.0,0.0
2025-09-24 00:00:00-04:00,5.120170000295032,5.179706805745385,5.110247435964875,5.140015602111816,141900,0.0,0.0
2025-09-25 00:00:00-04:00,5.110247611999512,5.149938817000338,5.060633369170236,5.110247611999512,52600,0.0,0.0
2025-09-26 00:00:00-04:00,5.120169694450564,5.388085539551898,5.120169694450564,5.3583173751831055,218600,0.0,0.0
2025-09-29 00:00:00-04:00,5.358317663371381,5.398008866768791,5.269012219148977,5.308703422546387,128500,0.0,0.0
2025-09-30 00:00:00-04:00,5.30870283190578,5.378162666701452,5.298780268738635,5.328548431396484,52500,0.0,0.0
2025-10-01 00:00:00-04:00,5.318626637153727,5.378163444233194,5.269012394675929,5.278935432434082,32500,0.0,0.0
2025-10-02 00:00:00-04:00,5.269012312026445,5.269012312026445,5.070556291541192,5.130093097686768,41000,0.0,0.0
2025-10-03 00:00:00-04:00,5.1499384679061215,5.229320872526752,5.140015430750315,5.169784069061279,25000,0.0,0.0
2025-10-06 00:00:00-04:00,5.169784142612914,5.288857751237945,5.130092939737904,5.239243984222412,37300,0.0,0.0
2025-10-07 00:00:00-04:00,5.209475040435791,5.368239842639014,5.120169602618262,5.209475040435791,41200,0.0,0.0
2025-10-08 00:00:00-04:00,5.229320831830374,5.28885763483251,5.179706592750369,5.259089469909668,60800,0.0,0.0
2025-10-09 00:00:00-04:00,5.259089555989394,5.259089555989394,5.109683513641357,5.109683513641357,39300,0.02,0.0
2025-10-10 00:00:00-04:00,5.06984175612793,5.259089338620285,5.010079436648559,5.03000020980835,62900,0.0,0.0
2025-10-13 00:00:00-04:00,4.990158686247936,5.23916858935535,4.990158686247936,5.219247341156006,60800,0.0,0.0
