Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-08-07 00:00:00-04:00,128.63146988779695,129.09734756274233,126.83734474199947,127.87812805175781,24421900,0.0,0.0,0.0
2025-08-08 00:00:00-04:00,128.09620259265128,129.29559337097172,128.09620259265128,129.01805114746094,13747100,0.0,0.0,0.0
2025-08-11 00:00:00-04:00,129.1468963623047,130.16787359066535,128.99821843458614,129.1468963623047,14474000,0.0,0.0,0.0
2025-08-12 00:00:00-04:00,129.19646808537337,130.0786591316477,128.98831897469003,130.0390167236328,17219500,0.0,0.0,0.0
2025-08-13 00:00:00-04:00,130.6634858954217,132.19987488701477,130.49496407868287,132.12057495117188,15069900,0.0,0.0,0.0
2025-08-14 00:00:00-04:00,131.8926007855663,132.9234848555029,131.24830958554338,132.7847137451172,15464000,0.0,0.0,0.0
2025-08-15 00:00:00-04:00,134.2913626336358,135.4015466039408,133.9939916572163,135.0149688720703,13929600,0.0,0.0,0.0
2025-08-18 00:00:00-04:00,135.33216885392193,135.9863820513393,134.6284064255724,134.69778442382812,12572000,0.0,0.0,0.0
2025-08-19 00:00:00-04:00,134.67794388040716,136.01610574676084,134.58873712262798,135.5601348876953,13578200,0.0,0.0,0.0
2025-08-20 00:00:00-04:00,135.80793371962554,136.99741758802398,135.80793371962554,136.29364013671875,14607000,0.0,0.0,0.0
2025-08-21 00:00:00-04:00,136.00619882196196,137.24523198433167,135.73856342391346,135.83767700195312,13218900,0.0,0.0,0.0
2025-08-22 00:00:00-04:00,136.59101470689671,137.80031224672987,136.59101470689671,136.957763671875,11898600,0.0,0.0,0.0
2025-08-25 00:00:00-04:00,136.9280325516133,137.0469748955027,134.90593708091072,135.0050506591797,10681000,0.0,0.0,0.0
2025-08-26 00:00:00-04:00,135.391624368656,135.96653755519006,135.14381774299045,135.84759521484375,11397500,0.0,0.0,0.0
2025-08-27 00:00:00-04:00,135.78812405311692,136.50180834507142,135.53039548246238,135.76829528808594,8321700,0.0,0.0,0.0
2025-08-28 00:00:00-04:00,135.62951662170886,135.64934538563443,134.56889706296133,135.23301696777344,9165700,0.0,0.0,0.0
2025-08-29 00:00:00-04:00,135.34206739241418,136.26391595507175,135.17356069277074,136.22425842285156,9655700,0.0,0.0,0.0
2025-09-02 00:00:00-04:00,135.68899893710656,136.53154753664427,135.2627787896364,136.35311889648438,13325300,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,135.90707407387404,136.5513652870884,135.04471180774343,135.70883178710938,12586000,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,135.59979597709457,136.26391595507175,134.88611164630063,136.22425842285156,11778600,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,136.07558412890998,137.16593942037454,135.84760624975553,136.6901397705078,14664000,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,136.2540167088284,136.66040812471647,135.1735682070619,136.64059448242188,15753300,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,136.84873560909165,137.75075540310516,136.5117222107515,137.37408447265625,12249600,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,137.29477734145416,137.29477734145416,135.60969531310607,136.12513732910156,13588300,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,136.82890271730994,138.77171335930342,136.68022478867726,138.49417114257812,16470800,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,138.00846907296986,138.58338229009024,136.88839335031457,136.89830017089844,11345400,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,137.0469707583161,137.32451296895727,135.4610174296403,135.7286376953125,11233800,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,135.4610174296403,136.1846085413179,135.34205996442543,135.7286376953125,12443800,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,135.9268988633435,137.07671014290636,135.63943469976536,135.99627685546875,12501500,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,135.99628061022912,136.7297937074591,135.68900279751236,136.263916015625,11472900,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,136.6108590147436,136.69014383382756,135.97645946272948,136.0854949951172,11280900,0.0,0.0,0.0
