Date,Close,Dividends,High,Low,Open,Volume,Stock Splits,Capital Gains
2025-12-05 00:00:00-05:00,,,,,,0,2.0,0.0
2025-12-08 00:00:00-05:00,147.22335815429688,0.0,147.97129227990618,146.5153071533462,147.0238968807274,8272800,0.0,0.0
2025-12-09 00:00:00-05:00,147.6123046875,0.0,147.8416669252407,146.5552267380957,146.93416973593665,6978200,0.0,0.0
2025-12-10 00:00:00-05:00,148.32032775878906,0.0,148.80898356082943,146.41560030545867,147.28319907259763,8961100,0.0,0.0
2025-12-11 00:00:00-05:00,147.56243896484375,0.0,147.72200191969532,144.71031581810576,146.65494177798143,9769300,0.0,0.0
2025-12-12 00:00:00-05:00,143.29421997070312,0.0,146.674881881673,142.86539645815157,146.53526810900132,14873200,0.0,0.0
2025-12-15 00:00:00-05:00,141.90805053710938,0.0,144.23163458842245,141.62882298917785,144.02220631909375,10790300,0.0,0.0
2025-12-16 00:00:00-05:00,142.16732788085938,0.0,142.57620222192057,140.91080392428591,141.51912433859943,10790900,0.0,0.0
2025-12-17 00:00:00-05:00,139.0060577392578,0.0,142.44655187145904,138.93625846290362,142.32688727384635,18178700,0.0,0.0
2025-12-18 00:00:00-05:00,141.15013122558594,0.0,142.0277121961957,140.40219704838714,141.46925711190212,12319500,0.0,0.0
2025-12-19 00:00:00-05:00,144.20172119140625,0.0,144.22165514752476,142.17731382186918,142.19724777798768,14265900,0.0,0.0
2025-12-22 00:00:00-05:00,144.979736328125,0.219,145.8286716094758,144.47035991947462,145.8286716094758,8864500,0.0,0.0
2025-12-23 00:00:00-05:00,145.7687530517578,0.0,145.79871457791484,144.1807312060748,144.56026419051742,7546100,0.0,0.0
2025-12-24 00:00:00-05:00,146.1183319091797,0.0,146.31808050695474,145.49909144428355,145.608955459036,3676300,0.0,0.0
2025-12-26 00:00:00-05:00,146.34803771972656,0.0,146.79747586142955,146.0584045474684,146.427940204449,5052900,0.0,0.0
2025-12-29 00:00:00-05:00,145.68885803222656,0.0,146.19823448267135,144.859886873121,145.16951472567268,9822300,0.0,0.0
2025-12-30 00:00:00-05:00,145.22943115234375,0.0,146.07836646460183,145.19946962601938,145.6688871915552,6387400,0.0,0.0
2025-12-31 00:00:00-05:00,143.7912139892578,0.0,145.6189432568747,143.72129360270367,145.52905867973948,9528400,0.0,0.0
2026-01-02 00:00:00-05:00,144.1208038330078,0.0,146.3380481411956,143.23190969070475,145.44915399889257,15299500,0.0,0.0
2026-01-05 00:00:00-05:00,144.44039916992188,0.0,146.20820536739518,144.07086353016348,145.828672392612,17476300,0.0,0.0
2026-01-06 00:00:00-05:00,146.46788024902344,0.0,146.58774159309948,144.45039970846727,145.02968127867382,14985700,0.0,0.0
2026-01-07 00:00:00-05:00,146.34803771972656,0.0,147.19698828504164,145.858640715742,146.34803771972656,13957100,0.0,0.0
2026-01-08 00:00:00-05:00,144.06088256835938,0.0,145.7487710582734,143.32179604318796,145.7487710582734,16870100,0.0,0.0
2026-01-09 00:00:00-05:00,145.968505859375,0.0,146.39797981310886,143.85114333725124,144.39048130335047,15652600,0.0,0.0
2026-01-12 00:00:00-05:00,146.6077117919922,0.0,147.107090899893,144.86988224999556,145.00970779061413,12867200,0.0,0.0
2026-01-13 00:00:00-05:00,146.298095703125,0.0,147.33681275715918,145.66888840523026,146.66764659727207,16552200,0.0,0.0
2026-01-14 00:00:00-05:00,144.5203094482422,0.0,145.74877777521488,143.1420334862146,145.31931906149694,22104200,0.0,0.0
2026-01-15 00:00:00-05:00,145.2793731689453,0.0,147.386753561557,145.1295502963904,146.7475336890676,17370900,0.0,0.0
2026-01-16 00:00:00-05:00,145.4391632080078,0.0,146.76751343366223,144.83991743602937,146.53780331639587,14156700,0.0,0.0
2026-01-20 00:00:00-05:00,141.6638641357422,0.0,143.92106749621226,141.43415400926787,142.91231192720883,20029200,0.0,0.0
2026-01-21 00:00:00-05:00,143.63140869140625,0.0,144.85987696224998,141.783715237507,142.60268900478945,27892800,0.0,0.0
2026-01-22 00:00:00-05:00,144.70008850097656,0.0,145.51906227540283,143.98098139961482,145.42917769769267,12971600,0.0,0.0
2026-01-23 00:00:00-05:00,144.90982055664062,0.0,145.64890709556093,143.57148825412904,144.35051841468595,14654500,0.0,0.0
2026-01-26 00:00:00-05:00,145.8986053466797,0.0,146.527827913847,144.710080604182,145.0896136116596,10195600,0.0,0.0
2026-01-27 00:00:00-05:00,147.86614990234375,0.0,148.43543413370244,146.8474123032637,147.23692737940604,12436200,0.0,0.0
2026-01-28 00:00:00-05:00,149.044677734375,0.0,149.71384388080708,148.42545254450894,148.81496762197955,19497400,0.0,0.0
2026-01-29 00:00:00-05:00,146.68760681152344,0.0,147.74628802801092,143.0920865615569,147.6564034507258,25581000,0.0,0.0
2026-01-30 00:00:00-05:00,143.7013397216797,0.0,146.56777097924348,142.81244550216584,145.85864592689722,18342600,0.0,0.0
2026-02-02 00:00:00-05:00,145.07960510253906,0.0,145.96849925698308,143.21193221664706,143.35175774971106,16337600,0.0,0.0
2026-02-03 00:00:00-05:00,141.903564453125,0.0,145.7887331749552,139.99593266625234,145.69884859605725,30464500,0.0,0.0
2026-02-04 00:00:00-05:00,137.94847106933594,0.0,140.83488151885172,135.940972670277,140.6551123666255,45649500,0.0,0.0
2026-02-05 00:00:00-05:00,135.46157836914062,0.0,138.3080300705752,134.91225831593167,137.0496002358206,42950900,0.0,0.0
2026-02-06 00:00:00-05:00,140.95474243164062,0.0,141.29431654470656,137.24934299367536,137.83860664396744,37131900,0.0,0.0
2026-02-09 00:00:00-05:00,143.1719970703125,0.0,143.85114534544047,139.7362663518413,140.42541196267712,24629500,0.0,0.0
2026-02-10 00:00:00-05:00,142.37298583984375,0.0,143.9709898314496,142.21318086873092,143.64141303331053,22564300,0.0,0.0
2026-02-11 00:00:00-05:00,142.79246520996094,0.0,144.5802357342237,141.1445202281554,144.33054617699005,18905700,0.0,0.0
2026-02-12 00:00:00-05:00,139.03713989257812,0.0,143.59147498263496,138.74749147159054,143.13203949134206,32154700,0.0,0.0
2026-02-13 00:00:00-05:00,139.38668823242188,0.0,140.73501786236181,137.758707533135,139.38668823242188,26637100,0.0,0.0
2026-02-17 00:00:00-05:00,139.30679321289062,0.0,140.27558991211552,136.84985650916815,138.46783995990447,25743800,0.0,0.0
2026-02-18 00:00:00-05:00,140.73501586914062,0.0,141.94350470745107,139.09705309766127,139.8860653378924,13705800,0.0,0.0
2026-02-19 00:00:00-05:00,140.035888671875,0.0,140.53526775313293,139.1070356560184,139.9160273292818,13484000,0.0,0.0
2026-02-20 00:00:00-05:00,140.70506286621094,0.0,141.57397764058925,138.7974310090475,139.02714113241998,14942400,0.0,0.0
2026-02-23 00:00:00-05:00,138.34799194335938,0.0,140.47533657413354,137.71876939236824,140.00591899479744,22021900,0.0,0.0
2026-02-24 00:00:00-05:00,140.145751953125,0.0,140.76497713392723,138.01839220124117,139.0670913144166,13030600,0.0,0.0
2026-02-25 00:00:00-05:00,142.8323974609375,0.0,143.16198947902393,141.03464498386947,141.18445261034518,13296000,0.0,0.0
2026-02-26 00:00:00-05:00,140.8348846435547,0.0,142.8324009917555,139.087057838879,142.7624958442854,19364900,0.0,0.0
2026-02-27 00:00:00-05:00,138.58767700195312,0.0,139.5964324985553,137.7687032342485,138.13823887725084,15328600,0.0,0.0
2026-03-02 00:00:00-05:00,139.36671447753906,0.0,139.7862063384836,136.3904192669423,136.85983684671464,20156700,0.0,0.0
2026-03-03 00:00:00-05:00,137.32925415039062,0.0,138.1582252951339,134.8223765246062,136.19067039830102,34153000,0.0,0.0
2026-03-04 00:00:00-05:00,139.6663360595703,0.0,140.45536353250006,137.8685683413303,138.35796532124675,15201400,0.0,0.0
2026-03-05 00:00:00-05:00,140.00592041015625,0.0,141.08458111997086,137.91851938127328,138.98719799519887,19422500,0.0,0.0
