Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2026-03-18 00:00:00-04:00,150.52000427246094,151.6199951171875,149.5,149.50999450683594,62300,0.0,0.0,0.0
2026-03-19 00:00:00-04:00,148.19000244140625,150.6699981689453,147.72000122070312,149.49000549316406,50600,0.0,0.0,0.0
2026-03-20 00:00:00-04:00,149.00999450683594,149.00999450683594,146.24000549316406,147.3699951171875,81400,0.0,0.0,0.0
2026-03-23 00:00:00-04:00,149.14999389648438,151.16000366210938,147.8800048828125,149.94000244140625,92900,0.0,0.0,0.0
2026-03-24 00:00:00-04:00,148.19000244140625,148.52000427246094,143.41000366210938,143.8000030517578,235000,0.0,0.0,0.0
2026-03-25 00:00:00-04:00,146.3699951171875,147.57000732421875,142.0,143.88999938964844,128300,0.0,0.0,0.0
2026-03-26 00:00:00-04:00,142.27999877929688,146.47000122070312,142.27999877929688,143.6699981689453,74300,0.0,0.0,0.0
2026-03-27 00:00:00-04:00,141.9499969482422,141.9499969482422,137.57000732421875,138.25,127600,0.0,0.0,0.0
2026-03-30 00:00:00-04:00,139.25,141.10000610351562,137.57000732421875,138.64999389648438,92800,0.0,0.0,0.0
2026-03-31 00:00:00-04:00,140.49000549316406,143.1199951171875,139.02000427246094,142.2899932861328,72100,0.0,0.0,0.0
2026-04-01 00:00:00-04:00,143.82000732421875,144.3800048828125,140.66000366210938,142.75,71600,0.0,0.0,0.0
2026-04-02 00:00:00-04:00,140.41000366210938,145.35000610351562,139.8300018310547,144.91000366210938,40200,0.0,0.0,0.0
2026-04-06 00:00:00-04:00,144.9199981689453,146.17999267578125,144.47999572753906,145.8699951171875,48700,0.0,0.0,0.0
2026-04-07 00:00:00-04:00,144.49000549316406,145.89999389648438,143.22999572753906,144.9600067138672,38500,0.0,0.0,0.0
2026-04-08 00:00:00-04:00,149.7100067138672,150.8699951171875,143.94000244140625,144.2899932861328,50800,0.0,0.0,0.0
2026-04-09 00:00:00-04:00,143.13999938964844,143.47000122070312,138.50999450683594,139.8800048828125,88300,0.0,0.0,0.0
2026-04-10 00:00:00-04:00,139.8800048828125,140.2899932861328,135.19000244140625,135.97000122070312,170100,0.0,0.0,0.0
2026-04-13 00:00:00-04:00,135.36000061035156,142.0800018310547,135.1999969482422,141.85000610351562,240300,0.0,0.0,0.0
2026-04-14 00:00:00-04:00,143.57000732421875,146.27000427246094,142.2899932861328,143.1199951171875,161000,0.0,0.0,0.0
2026-04-15 00:00:00-04:00,144.74000549316406,149.5,144.74000549316406,149.47000122070312,123000,0.0,0.0,0.0
2026-04-16 00:00:00-04:00,151.72999572753906,152.9499969482422,149.55999755859375,151.39999389648438,161800,0.0,0.0,0.0
2026-04-17 00:00:00-04:00,154.66000366210938,155.50999450683594,152.72999572753906,153.6699981689453,99200,0.0,0.0,0.0
2026-04-20 00:00:00-04:00,152.5800018310547,156.00999450683594,152.5800018310547,155.8000030517578,517300,0.0,0.0,0.0
2026-04-21 00:00:00-04:00,156.9499969482422,160.22000122070312,154.69000244140625,155.4199981689453,142700,0.0,0.0,0.0
2026-04-22 00:00:00-04:00,157.3000030517578,158.10000610351562,155.25,156.8000030517578,110800,0.0,0.0,0.0
2026-04-23 00:00:00-04:00,153.4600067138672,153.4600067138672,145.10000610351562,147.52999877929688,181200,0.0,0.0,0.0
2026-04-24 00:00:00-04:00,148.74000549316406,151.3699951171875,148.0399932861328,151.3699951171875,85600,0.0,0.0,0.0
2026-04-27 00:00:00-04:00,150.72999572753906,152.5399932861328,150.3800048828125,150.8699951171875,33700,0.0,0.0,0.0
2026-04-28 00:00:00-04:00,150.30999755859375,152.6999969482422,150.30999755859375,150.7899932861328,27800,0.0,0.0,0.0
2026-04-29 00:00:00-04:00,150.83999633789062,150.8800048828125,148.72999572753906,150.8800048828125,110200,0.0,0.0,0.0
2026-04-30 00:00:00-04:00,150.30999755859375,151.67999267578125,148.00999450683594,151.27999877929688,140400,0.0,0.0,0.0
2026-05-01 00:00:00-04:00,154.1699981689453,157.38999938964844,153.9199981689453,156.83999633789062,80600,0.0,0.0,0.0
2026-05-04 00:00:00-04:00,157.3699951171875,161.7899932861328,157.02999877929688,160.22000122070312,111300,0.0,0.0,0.0
2026-05-05 00:00:00-04:00,160.6300048828125,161.0399932861328,157.91000366210938,160.89999389648438,105400,0.0,0.0,0.0
2026-05-06 00:00:00-04:00,160.36000061035156,160.36000061035156,157.44000244140625,159.7100067138672,57000,0.0,0.0,0.0
2026-05-07 00:00:00-04:00,162.25,164.52000427246094,161.42999267578125,163.1699981689453,143700,0.0,0.0,0.0
2026-05-08 00:00:00-04:00,161.97000122070312,162.91000366210938,157.8300018310547,162.91000366210938,32100,0.0,0.0,0.0
2026-05-11 00:00:00-04:00,161.8800048828125,162.14999389648438,159.2100067138672,159.9499969482422,68900,0.0,0.0,0.0
2026-05-12 00:00:00-04:00,158.77000427246094,158.77000427246094,155.55999755859375,156.02999877929688,23400,0.0,0.0,0.0
2026-05-13 00:00:00-04:00,155.61000061035156,155.61000061035156,152.2100067138672,154.25,81400,0.0,0.0,0.0
2026-05-14 00:00:00-04:00,154.92999267578125,157.83999633789062,152.58999633789062,156.64999389648438,103600,0.0,0.0,0.0
2026-05-15 00:00:00-04:00,155.3300018310547,158.1300048828125,154.55999755859375,156.6999969482422,98700,0.0,0.0,0.0
2026-05-18 00:00:00-04:00,156.3699951171875,160.08999633789062,155.8300018310547,159.5800018310547,88800,0.0,0.0,0.0
2026-05-19 00:00:00-04:00,160.77999877929688,162.74000549316406,158.6300048828125,159.60000610351562,152400,0.0,0.0,0.0
2026-05-20 00:00:00-04:00,158.7100067138672,162.2100067138672,156.77999877929688,162.2100067138672,64200,0.0,0.0,0.0
2026-05-21 00:00:00-04:00,160.55999755859375,162.3000030517578,159.0500030517578,161.8699951171875,37400,0.0,0.0,0.0
2026-05-22 00:00:00-04:00,162.8300018310547,166.3300018310547,162.8300018310547,165.02999877929688,38600,0.0,0.0,0.0
2026-05-26 00:00:00-04:00,166.0399932861328,167.27999877929688,164.0,165.94000244140625,65900,0.0,0.0,0.0
2026-05-27 00:00:00-04:00,164.52999877929688,167.24000549316406,164.52999877929688,165.16000366210938,110200,0.0,0.0,0.0
2026-05-28 00:00:00-04:00,166.02999877929688,170.2100067138672,165.72000122070312,169.5500030517578,42400,0.0,0.0,0.0
2026-05-29 00:00:00-04:00,170.5,177.2899932861328,170.5,177.2899932861328,114200,0.0,0.0,0.0
2026-06-01 00:00:00-04:00,179.55999755859375,187.7899932861328,178.8699951171875,187.58999633789062,138300,0.0,0.0,0.0
2026-06-02 00:00:00-04:00,182.7100067138672,183.69000244140625,180.42999267578125,182.85000610351562,154400,0.0,0.0,0.0
2026-06-03 00:00:00-04:00,181.5399932861328,181.5399932861328,174.42999267578125,175.1999969482422,69300,0.0,0.0,0.0
2026-06-04 00:00:00-04:00,175.2100067138672,178.16000366210938,174.0399932861328,175.3800048828125,53000,0.0,0.0,0.0
2026-06-05 00:00:00-04:00,174.02999877929688,174.14999389648438,166.38999938964844,168.2100067138672,112300,0.0,0.0,0.0
2026-06-08 00:00:00-04:00,168.97000122070312,170.25999450683594,167.61000061035156,169.0399932861328,46100,0.0,0.0,0.0
2026-06-09 00:00:00-04:00,168.72999572753906,170.77999877929688,160.63999938964844,165.72999572753906,55300,0.0,0.0,0.0
2026-06-10 00:00:00-04:00,163.1999969482422,167.6199951171875,162.6300048828125,163.57000732421875,36500,0.0,0.0,0.0
2026-06-11 00:00:00-04:00,162.80999755859375,165.1199951171875,160.61000061035156,164.97000122070312,42100,0.0,0.0,0.0
