Date,Close,Dividends,High,Low,Open,Volume,Stock Splits
2025-12-18 00:00:00-05:00,,,,,,0,5.0
2025-12-19 00:00:00-05:00,155.30999755859375,0.0,156.16000366210938,152.5399932861328,152.97000122070312,25257500,0.0
2025-12-22 00:00:00-05:00,156.67999267578125,0.0,157.16000366210938,153.14999389648438,156.86000061035156,11120300,0.0
2025-12-23 00:00:00-05:00,154.36000061035156,0.0,156.08999633789062,151.6300048828125,155.5,12572500,0.0
2025-12-24 00:00:00-05:00,152.58999633789062,0.0,153.94000244140625,152.00999450683594,153.5,3896800,0.0
2025-12-26 00:00:00-05:00,153.88999938964844,0.0,154.47999572753906,152.2100067138672,152.5,5450500,0.0
2025-12-29 00:00:00-05:00,154.5800018310547,0.0,155.69000244140625,152.7899932861328,153.07000732421875,7157700,0.0
2025-12-30 00:00:00-05:00,154.22999572753906,0.0,154.69000244140625,153.25,153.85000610351562,5110600,0.0
2025-12-31 00:00:00-05:00,153.19000244140625,0.0,154.5399932861328,152.67999267578125,153.99000549316406,5256100,0.0
2026-01-02 00:00:00-05:00,147.4499969482422,0.0,153.1999969482422,145.63999938964844,153.0800018310547,9896600,0.0
2026-01-05 00:00:00-05:00,147.60000610351562,0.0,149.80999755859375,145.7899932861328,146.50999450683594,9854900,0.0
2026-01-06 00:00:00-05:00,148.80999755859375,0.0,149.57000732421875,146.6999969482422,147.4199981689453,6428200,0.0
2026-01-07 00:00:00-05:00,150.89999389648438,0.0,152.11000061035156,147.75,148.0,6195600,0.0
2026-01-08 00:00:00-05:00,146.19000244140625,0.0,150.3000030517578,146.17999267578125,149.94000244140625,7426100,0.0
2026-01-09 00:00:00-05:00,141.8000030517578,0.0,147.35000610351562,141.42999267578125,147.35000610351562,11845400,0.0
2026-01-12 00:00:00-05:00,142.63999938964844,0.0,143.77000427246094,141.14999389648438,141.63999938964844,9900000,0.0
2026-01-13 00:00:00-05:00,138.19000244140625,0.0,144.6999969482422,137.17999267578125,142.13999938964844,12898300,0.0
2026-01-14 00:00:00-05:00,134.61000061035156,0.0,138.19000244140625,132.61000061035156,137.38999938964844,15646900,0.0
2026-01-15 00:00:00-05:00,131.1699981689453,0.0,136.24000549316406,129.92999267578125,135.14999389648438,14582800,0.0
2026-01-16 00:00:00-05:00,127.30999755859375,0.0,131.35000610351562,126.8499984741211,129.6999969482422,20052400,0.0
2026-01-20 00:00:00-05:00,125.4000015258789,0.0,128.77999877929688,125.02999877929688,126.56999969482422,19712200,0.0
2026-01-21 00:00:00-05:00,125.30000305175781,0.0,128.00999450683594,123.77999877929688,128.0,16119600,0.0
2026-01-22 00:00:00-05:00,128.55999755859375,0.0,128.72999572753906,125.0999984741211,126.0,12944200,0.0
2026-01-23 00:00:00-05:00,133.11000061035156,0.0,133.85000610351562,128.22999572753906,128.64999389648438,16605400,0.0
