Date,Close,High,Low,Open,Volume,Dividends,Stock Splits
2025-09-30 00:00:00-04:00,,,,,0,0.248,0.0
2025-10-01 00:00:00-04:00,138.332763671875,138.7320439462397,127.96130089854229,128.11102719353752,4333300,0.0,0.0
2025-10-02 00:00:00-04:00,138.45254516601562,140.3890864893814,136.65575346229653,137.3046029497439,2228800,0.0,0.0
2025-10-03 00:00:00-04:00,141.38729858398438,142.83470858363427,138.6022829422616,138.75200923370045,2346000,0.0,0.0
2025-10-06 00:00:00-04:00,141.35736083984375,141.6867739300856,139.65040486887534,141.25753315253414,1538400,0.0,0.0
2025-10-07 00:00:00-04:00,138.3127899169922,142.0161775342498,138.19300888547477,141.6069053678112,1444600,0.0,0.0
2025-10-08 00:00:00-04:00,140.55877685546875,142.18587362820486,138.72206327577547,140.10958275185197,1698700,0.0,0.0
2025-10-09 00:00:00-04:00,139.8600311279297,140.68855215727706,138.2329343278745,140.02972600407563,1149900,0.0,0.0
2025-10-10 00:00:00-04:00,136.37625122070312,140.31921620623743,136.04683814630943,139.41083608274863,1968200,0.0,0.0
2025-10-13 00:00:00-04:00,137.98338317871094,139.59051142874705,136.51600454904465,137.60407148431642,1481500,0.0,0.0
2025-10-14 00:00:00-04:00,137.79371643066406,139.67036720080398,135.2981766752933,136.02688525058898,1142100,0.0,0.0
2025-10-15 00:00:00-04:00,139.40084838867188,139.9698387793392,137.1049639372834,138.43257771904123,1692500,0.0,0.0
2025-10-16 00:00:00-04:00,140.8482666015625,143.0643070711851,140.00975368731963,140.58872072485366,2180200,0.0,0.0
2025-10-17 00:00:00-04:00,141.6667938232422,141.986230211397,138.77197390552456,139.51064389789323,1506500,0.0,0.0
2025-10-20 00:00:00-04:00,142.744873046875,144.37196983053133,142.01617970804756,142.744873046875,1580500,0.0,0.0
2025-10-21 00:00:00-04:00,145.4200897216797,149.23328189462052,144.01261683297838,145.04077802483073,1658400,0.0,0.0
2025-10-22 00:00:00-04:00,145.60975646972656,147.4764306628878,144.20228354928346,145.0208127119012,1495400,0.0,0.0
2025-10-23 00:00:00-04:00,147.19692993164062,148.06537292957162,145.3402476649296,146.0389957800216,1210000,0.0,0.0
2025-10-24 00:00:00-04:00,147.76589965820312,148.85395134246133,147.2667917041508,147.8557354343567,1135500,0.0,0.0
2025-10-27 00:00:00-04:00,146.32846069335938,148.384782948026,146.2585935028898,148.01544795031364,1187900,0.0,0.0
2025-10-28 00:00:00-04:00,145.5897979736328,147.0072627517484,144.37197333313406,145.47999361320862,1470100,0.0,0.0
2025-10-29 00:00:00-04:00,142.94451904296875,145.78944055427166,142.61510595617614,145.26038732651682,1902500,0.0,0.0
2025-10-30 00:00:00-04:00,143.10423278808594,145.01082882271837,141.9562905896573,142.67499202840762,1519600,0.0,0.0
2025-10-31 00:00:00-04:00,146.098876953125,146.72775783225902,142.34559072391056,142.52526227133995,1487200,0.0,0.0
2025-11-03 00:00:00-05:00,144.43186950683594,145.32028110085,142.27571938038608,144.8111964452577,1785800,0.0,0.0
2025-11-04 00:00:00-05:00,145.8193817138672,148.44469442682637,143.24398284263674,143.24398284263674,2176600,0.0,0.0
2025-11-05 00:00:00-05:00,146.50814819335938,147.22686484166272,142.20584021048802,142.8945963695104,1664700,0.0,0.0
2025-11-06 00:00:00-05:00,147.22686767578125,147.7459289738858,144.84113229860495,145.52988847088588,1286000,0.0,0.0
2025-11-07 00:00:00-05:00,146.47821044921875,146.85752214359385,144.3220603937093,146.25860172699652,1027200,0.0,0.0
2025-11-10 00:00:00-05:00,146.098876953125,147.61616935709066,144.84113042642255,146.66785208488363,1310500,0.0,0.0
2025-11-11 00:00:00-05:00,149.15342712402344,149.7124256253546,146.5181375952003,146.64791054428318,1218600,0.0,0.0
2025-11-12 00:00:00-05:00,151.2496795654297,152.3976217739891,148.51456247750136,149.64255133450686,2064500,0.0,0.0
2025-11-13 00:00:00-05:00,146.6279296875,151.8286411129652,146.25859468679803,149.17338322231976,1940700,0.0,0.0
2025-11-14 00:00:00-05:00,146.55807495117188,147.73596247597692,144.2422066066126,145.0607510071586,1302600,0.0,0.0
2025-11-17 00:00:00-05:00,144.2621612548828,146.7776542710987,143.7929985792214,146.10885146850092,1445600,0.0,0.0
2025-11-18 00:00:00-05:00,143.5833740234375,145.03078405856596,139.9898058567289,142.9844536114358,2330800,0.0,0.0
2025-11-19 00:00:00-05:00,144.14236450195312,145.230431368442,142.50529109615263,145.230431368442,1848300,0.0,0.0
2025-11-20 00:00:00-05:00,144.8011932373047,147.09709280954513,143.69317300031193,146.89745267969064,1443700,0.0,0.0
2025-11-21 00:00:00-05:00,150.98016357421875,151.48924822918764,144.21226060078902,144.21226060078902,2469000,0.0,0.0
2025-11-24 00:00:00-05:00,153.3259735107422,153.3259735107422,150.20155276412336,151.62899423817922,3984500,0.0,0.0
2025-11-25 00:00:00-05:00,156.91954040527344,159.9840706069874,147.73595693915286,150.510995992863,3698000,0.0,0.0
2025-11-26 00:00:00-05:00,154.09458923339844,157.83789899503037,153.74522279458597,155.4621554237798,3294300,0.0,0.0
2025-11-28 00:00:00-05:00,153.22613525390625,154.28424163359287,152.9466360302745,153.8350475407251,1531600,0.0,0.0
2025-12-01 00:00:00-05:00,149.83221435546875,153.67533647443682,148.92383422075108,152.26784838414673,2043900,0.0,0.0
2025-12-02 00:00:00-05:00,148.5445098876953,151.18979123724307,148.48461936903402,150.69068327297742,1653000,0.0,0.0
2025-12-03 00:00:00-05:00,148.9936981201172,151.1598247716242,148.83399515385494,149.50279797174798,2163100,0.0,0.0
2025-12-04 00:00:00-05:00,148.05538940429688,149.5327446695141,143.96269812705688,148.99369955454665,2865100,0.0,0.0
2025-12-05 00:00:00-05:00,145.23043823242188,148.7341705932343,144.5017296513785,148.5245385502407,2142100,0.0,0.0
2025-12-08 00:00:00-05:00,142.18588256835938,144.56164140702484,141.92633667276738,144.56164140702484,2195300,0.0,0.0
2025-12-09 00:00:00-05:00,140.3890838623047,142.51528860788216,139.96983501120994,142.04612591536915,2324500,0.0,0.0
2025-12-10 00:00:00-05:00,143.2140350341797,143.67320581415092,140.80833108240452,141.25752518683402,1864000,0.0,0.0
2025-12-11 00:00:00-05:00,142.61509704589844,143.62330482685178,141.8864037227085,143.31386034295875,1226100,0.0,0.0
2025-12-12 00:00:00-05:00,139.4307861328125,142.59514386088398,138.9017329374968,142.33559798513747,1961800,0.0,0.0
2025-12-15 00:00:00-05:00,140.3491668701172,143.11421404957463,139.47073197123504,141.5669915320887,2712100,0.0,0.0
2025-12-16 00:00:00-05:00,138.94168090820312,140.2593180454932,137.79372342353554,140.22937278543432,1798800,0.0,0.0
2025-12-17 00:00:00-05:00,136.4161834716797,139.06144941558713,136.0268798944336,138.4225918726303,2242000,0.0,0.0
2025-12-18 00:00:00-05:00,136.65574645996094,138.73203729658283,135.9869436550955,136.84540991224142,2693900,0.0,0.0
2025-12-19 00:00:00-05:00,136.9951629638672,138.0233241776132,136.18659524688536,136.96521770378268,4959100,0.0,0.0
2025-12-22 00:00:00-05:00,138.2728729248047,138.94167576061898,136.9652125121256,137.37446946162328,2038300,0.0,0.0
2025-12-23 00:00:00-05:00,138.1131591796875,138.67215767353767,137.3944424785754,137.92349571250978,1208700,0.0,0.0
2025-12-24 00:00:00-05:00,138.07322692871094,138.32278089707697,137.52420515199256,138.10317218638963,509000,0.0,0.0
2025-12-26 00:00:00-05:00,138.14309692382812,138.38267422168664,137.62402039425086,138.25290128140088,739300,0.0,0.0
2025-12-29 00:00:00-05:00,137.6839141845703,138.82189495278203,137.37446968720724,138.15307688430337,1640800,0.0,0.0
2025-12-30 00:00:00-05:00,137.3744659423828,137.9135110527957,136.58588209097263,137.3245673331228,2423100,0.0,0.0
2025-12-31 00:00:00-05:00,135.82723999023438,137.72384404011032,135.79727950126005,137.3644857196368,950000,0.0,0.0
2026-01-02 00:00:00-05:00,137.70388793945312,137.70388793945312,135.0286764913311,135.99694718616084,1650600,0.0,0.0
2026-01-05 00:00:00-05:00,142.67498779296875,142.71492495767072,137.41440109511385,137.4243777705066,2981500,0.0,0.0
2026-01-06 00:00:00-05:00,147.60000610351562,148.55999755859375,142.1699981689453,142.17999267578125,2627700,0.255,0.0
2026-01-07 00:00:00-05:00,147.80999755859375,149.38999938964844,145.5500030517578,147.63999938964844,2279000,0.0,0.0
2026-01-08 00:00:00-05:00,145.75999450683594,148.74000549316406,145.3699951171875,146.74000549316406,1728700,0.0,0.0
2026-01-09 00:00:00-05:00,148.52000427246094,150.02999877929688,147.14999389648438,147.47999572753906,1818800,0.0,0.0
2026-01-12 00:00:00-05:00,147.99000549316406,150.0,146.91000366210938,148.60000610351562,1127900,0.0,0.0
2026-01-13 00:00:00-05:00,146.32000732421875,150.10000610351562,143.13999938964844,148.57000732421875,2593400,0.0,0.0
2026-01-14 00:00:00-05:00,145.9199981689453,148.3699951171875,145.52000427246094,146.41000366210938,1684100,0.0,0.0
2026-01-15 00:00:00-05:00,144.8300018310547,146.89999389648438,144.67999267578125,146.58999633789062,1675000,0.0,0.0
2026-01-16 00:00:00-05:00,139.63999938964844,144.8800048828125,139.49000549316406,144.1999969482422,2603400,0.0,0.0
2026-01-20 00:00:00-05:00,135.8300018310547,138.77000427246094,134.6300048828125,138.0,3300700,0.0,0.0
2026-01-21 00:00:00-05:00,139.77000427246094,140.47000122070312,136.02000427246094,136.22000122070312,1988100,0.0,0.0
2026-01-22 00:00:00-05:00,138.6300048828125,141.19000244140625,138.42999267578125,139.3000030517578,1453200,0.0,0.0
2026-01-23 00:00:00-05:00,135.0500030517578,138.3699951171875,133.9600067138672,138.0,1811600,0.0,0.0
2026-01-26 00:00:00-05:00,135.64999389648438,136.9600067138672,134.10000610351562,134.72000122070312,1551900,0.0,0.0
2026-01-27 00:00:00-05:00,135.9499969482422,137.08999633789062,134.05999755859375,134.49000549316406,1422500,0.0,0.0
2026-01-28 00:00:00-05:00,133.8699951171875,135.57000732421875,133.39999389648438,135.39999389648438,1682600,0.0,0.0
2026-01-29 00:00:00-05:00,133.27000427246094,133.30999755859375,129.6300048828125,132.75,1919100,0.0,0.0
2026-01-30 00:00:00-05:00,133.85000610351562,133.94000244140625,131.0800018310547,131.94000244140625,1808000,0.0,0.0
2026-02-02 00:00:00-05:00,135.38999938964844,135.57000732421875,132.1199951171875,132.6300048828125,1487800,0.0,0.0
2026-02-03 00:00:00-05:00,132.13999938964844,137.85000610351562,131.55999755859375,135.38999938964844,2462900,0.0,0.0
2026-02-04 00:00:00-05:00,132.97999572753906,134.8699951171875,132.30999755859375,132.30999755859375,1958400,0.0,0.0
2026-02-05 00:00:00-05:00,129.63999938964844,133.4499969482422,129.35000610351562,132.19000244140625,1480100,0.0,0.0
2026-02-06 00:00:00-05:00,129.5800018310547,131.42999267578125,128.6300048828125,130.32000732421875,1931000,0.0,0.0
2026-02-09 00:00:00-05:00,127.5,128.0,125.68000030517578,127.79000091552734,2233500,0.0,0.0
2026-02-10 00:00:00-05:00,129.0,129.97999572753906,127.29000091552734,128.2899932861328,2124500,0.0,0.0
2026-02-11 00:00:00-05:00,128.89999389648438,129.55999755859375,127.13999938964844,128.02999877929688,2062400,0.0,0.0
2026-02-12 00:00:00-05:00,124.87999725341797,129.0,120.98999786376953,129.0,3440900,0.0,0.0
2026-02-13 00:00:00-05:00,125.80999755859375,127.7699966430664,125.0199966430664,125.5999984741211,1527900,0.0,0.0
2026-02-17 00:00:00-05:00,123.87000274658203,125.91000366210938,122.98999786376953,125.87000274658203,2110500,0.0,0.0
2026-02-18 00:00:00-05:00,126.94000244140625,126.98999786376953,123.05000305175781,123.63999938964844,1370400,0.0,0.0
2026-02-19 00:00:00-05:00,126.33999633789062,126.36000061035156,123.66000366210938,126.01000213623047,1892900,0.0,0.0
2026-02-20 00:00:00-05:00,122.9000015258789,125.80000305175781,122.05999755859375,125.19999694824219,4242900,0.0,0.0
2026-02-23 00:00:00-05:00,124.19999694824219,124.26000213623047,121.68000030517578,121.83000183105469,2359400,0.0,0.0
2026-02-24 00:00:00-05:00,124.4000015258789,125.83000183105469,123.12999725341797,124.51000213623047,2729600,0.0,0.0
2026-02-25 00:00:00-05:00,124.72000122070312,125.58999633789062,123.44000244140625,125.51000213623047,2469300,0.0,0.0
2026-02-26 00:00:00-05:00,120.97000122070312,124.41000366210938,114.48999786376953,121.88999938964844,6096600,0.0,0.0
2026-02-27 00:00:00-05:00,121.37999725341797,121.9800033569336,119.05000305175781,119.61000061035156,4333600,0.0,0.0
2026-03-02 00:00:00-05:00,118.16999816894531,119.4000015258789,117.61000061035156,118.8499984741211,3478000,0.0,0.0
2026-03-03 00:00:00-05:00,119.04000091552734,119.0999984741211,115.0,116.63999938964844,2770900,0.0,0.0
2026-03-04 00:00:00-05:00,120.54000091552734,121.16999816894531,119.25,119.58000183105469,2806100,0.0,0.0
2026-03-05 00:00:00-05:00,118.11000061035156,120.29000091552734,117.0999984741211,118.9000015258789,2657400,0.0,0.0
2026-03-06 00:00:00-05:00,115.06999969482422,116.7699966430664,114.91000366210938,116.66000366210938,2517300,0.0,0.0
2026-03-09 00:00:00-04:00,116.63999938964844,116.70999908447266,113.31999969482422,113.93000030517578,3207800,0.0,0.0
