Date,Close,High,Low,Open,Volume,Dividends,Stock Splits,Capital Gains
2025-12-24 00:00:00-05:00,,,,,0,0.086,0.0,0.0
2025-12-26 00:00:00-05:00,55.21870422363281,55.657976569027845,55.01903359085305,55.42835667427131,37244200,0.0,0.0,0.0
2025-12-29 00:00:00-05:00,54.40005874633789,54.89923343041425,53.830996102762285,54.20038811102722,50635300,0.0,0.0,0.0
2025-12-30 00:00:00-05:00,54.01070022583008,54.72951300199365,53.95080170008356,54.110537449408724,38976800,0.0,0.0,0.0
2025-12-31 00:00:00-05:00,52.63298034667969,54.110536966861055,52.55311056852903,54.04065281517955,57199400,0.0,0.0,0.0
2026-01-02 00:00:00-05:00,52.263587951660156,54.78941444532293,51.524811551193245,54.080583498841726,107226600,0.0,0.0,0.0
2026-01-05 00:00:00-05:00,53.51152420043945,54.24032258501058,53.20203833605504,53.86094876166133,77968000,0.0,0.0,0.0
2026-01-06 00:00:00-05:00,54.91919708251953,55.07893282913487,53.65129673598561,53.83099611857734,68915800,0.0,0.0,0.0
2026-01-07 00:00:00-05:00,55.07893371582031,56.09725054503665,54.67959624705355,54.799397106843514,65588300,0.0,0.0,0.0
2026-01-08 00:00:00-05:00,54.10055160522461,54.88924853052028,53.41169190310598,54.77942948922586,83760300,0.0,0.0,0.0
2026-01-09 00:00:00-05:00,55.6679573059082,56.0073962325223,53.70121170347992,54.300219781786915,78706300,0.0,0.0,0.0
2026-01-12 00:00:00-05:00,55.79774475097656,56.24700272167697,54.48990953542717,54.50987317110225,59673900,0.0,0.0,0.0
2026-01-13 00:00:00-05:00,55.50822448730469,56.406740460477884,54.86928148789294,55.81771416882005,88611000,0.0,0.0,0.0
2026-01-14 00:00:00-05:00,53.74114990234375,54.78941600817293,52.41334337546626,54.459958878923366,117421500,0.0,0.0,0.0
2026-01-15 00:00:00-05:00,54.29024124145508,55.737848627885114,54.04065389236027,55.558145431864794,90483000,0.0,0.0,0.0
2026-01-16 00:00:00-05:00,54.05063247680664,55.368453296510644,53.49155928565978,55.22868499872393,75855900,0.0,0.0,0.0
2026-01-20 00:00:00-05:00,50.646263122558594,52.47324429911458,50.3966757798641,51.30517355493603,129209100,0.0,0.0,0.0
2026-01-21 00:00:00-05:00,52.64296340942383,53.711196962841704,50.586362274226424,50.98570355762034,150230100,0.0,0.0,0.0
2026-01-22 00:00:00-05:00,53.811031341552734,54.24032186555359,53.062269331095514,54.230336239376534,90992300,0.0,0.0,0.0
2026-01-23 00:00:00-05:00,54.29024124145508,54.979100953932495,53.23198951026883,53.50154430429931,78066100,0.0,0.0,0.0
2026-01-26 00:00:00-05:00,54.98908615112305,55.53817755316295,54.120519441008305,54.38009241474398,58084300,0.0,0.0,0.0
2026-01-27 00:00:00-05:00,56.44667434692383,56.70624350767178,55.468292420411395,55.887597328173605,51981200,0.0,0.0,0.0
2026-01-28 00:00:00-05:00,56.965816497802734,57.91424535382391,56.636359377239124,57.604759486095126,76172100,0.0,0.0,0.0
2026-01-29 00:00:00-05:00,55.9474983215332,57.11556522952513,52.97241772439421,56.85599607499376,122642300,0.0,0.0,0.0
2026-01-30 00:00:00-05:00,53.910865783691406,55.618042286158826,53.231987909891394,54.92918259439143,110170700,0.0,0.0,0.0
2026-02-02 00:00:00-05:00,55.00904846191406,55.61804218361782,53.06227024781267,53.072252065761646,74665800,0.0,0.0,0.0
2026-02-03 00:00:00-05:00,52.43330764770508,55.667957367587604,50.995685973135124,55.54815651347356,129992200,0.0,0.0,0.0
2026-02-04 00:00:00-05:00,49.67786407470703,52.06392232085895,48.35006136359556,52.05393669423366,142536200,0.0,0.0,0.0
2026-02-05 00:00:00-05:00,47.561363220214844,49.448242913932596,46.98232256789751,48.310125245239384,158712900,0.0,0.0,0.0
2026-02-06 00:00:00-05:00,50.50649642944336,50.92580135049946,47.920771324395176,48.26021027361234,117934600,0.0,0.0,0.0
2026-02-09 00:00:00-05:00,51.654598236083984,52.183722185099796,49.35839163140269,49.97737098472753,71272700,0.0,0.0,0.0
2026-02-10 00:00:00-05:00,50.93578338623047,52.313506531028835,50.80599690669138,51.88421601350761,70660900,0.0,0.0,0.0
2026-02-11 00:00:00-05:00,51.31515884399414,52.413341621270035,49.95740309931809,52.12381939163164,92393800,0.0,0.0,0.0
2026-02-12 00:00:00-05:00,48.18033981323242,51.98405235443525,47.91078882973047,51.71449756253262,131150000,0.0,0.0,0.0
2026-02-13 00:00:00-05:00,48.38999557495117,49.50814581206535,47.10212396319251,48.070524078632836,123216600,0.0,0.0,0.0
2026-02-17 00:00:00-05:00,48.27019119262695,48.89915237089376,46.34337657685138,47.561364044009174,117089700,0.0,0.0,0.0
2026-02-18 00:00:00-05:00,49.308475494384766,50.27687561610228,48.12044109777513,48.449894414313654,81370800,0.0,0.0,0.0
2026-02-19 00:00:00-05:00,48.7494010925293,49.31845992324048,48.080505040745614,48.58966153881331,83447500,0.0,0.0,0.0
2026-02-20 00:00:00-05:00,49.97737121582031,50.36672686375688,47.68116460052148,47.88083523773015,118813800,0.0,0.0,0.0
2026-02-23 00:00:00-05:00,48.16037368774414,49.79766599091579,47.581329244310005,49.448241437960554,91951800,0.0,0.0,0.0
2026-02-24 00:00:00-05:00,49.69783020019531,49.95740316795207,47.741066357662405,48.370027524333906,71023300,0.0,0.0,0.0
2026-02-25 00:00:00-05:00,51.78438186645508,51.87423346401865,50.44659352962008,50.466560974456506,54217200,0.0,0.0,0.0
2026-02-26 00:00:00-05:00,49.967384338378906,51.55475996142609,48.62959605349385,51.54477814359585,105583800,0.0,0.0,0.0
2026-02-27 00:00:00-05:00,49.438262939453125,49.687850290434774,48.180340557801195,48.37002938192372,93802200,0.0,0.0,0.0
2026-03-02 00:00:00-05:00,49.61796569824219,50.06722368771816,47.15204147365239,47.38166137751773,108545900,0.0,0.0,0.0
2026-03-03 00:00:00-05:00,48.02060317993164,48.58966201623415,45.644534421068755,46.73273538684736,163365500,0.0,0.0,0.0
2026-03-04 00:00:00-05:00,50.17703628540039,50.706164026712045,48.43991056191072,48.60962812212731,99738400,0.0,0.0,0.0
2026-03-05 00:00:00-05:00,49.717796325683594,50.67621077720702,48.09048583659244,49.35838995426219,129713200,0.0,0.0,0.0
2026-03-06 00:00:00-05:00,47.46152877807617,48.96903461341761,47.10212240451119,47.58132963313099,141012200,0.0,0.0,0.0
2026-03-09 00:00:00-04:00,49.308475494384766,49.68784932687215,45.42489699776602,46.113756702092516,159005500,0.0,0.0,0.0
2026-03-10 00:00:00-04:00,49.318458557128906,50.65624681523922,48.749399742180536,49.328440374759374,115057200,0.0,0.0,0.0
2026-03-11 00:00:00-04:00,49.26853942871094,50.43661016113442,48.649563891409926,49.59799654578442,91104300,0.0,0.0,0.0
2026-03-12 00:00:00-04:00,46.75270462036133,48.40996448586143,46.67283483966216,48.07052553469149,130823900,0.0,0.0,0.0
2026-03-13 00:00:00-04:00,45.85418701171875,48.17035725266717,45.59461404200521,47.27184129350588,141952500,0.0,0.0,0.0
2026-03-16 00:00:00-04:00,47.38166046142578,48.190324826847565,47.10212385489014,47.29180886526781,81421500,0.0,0.0,0.0
2026-03-17 00:00:00-04:00,48.08050537109375,48.67951346804202,47.731084615940695,48.04057048239037,74570100,0.0,0.0,0.0
2026-03-18 00:00:00-04:00,46.023902893066406,48.030587192300345,45.97398618791741,47.64123156037747,105059300,0.0,0.0,0.0
2026-03-19 00:00:00-04:00,45.61458206176758,46.24354324111296,44.22687702498386,44.795935870162786,138384900,0.0,0.0,0.0
2026-03-20 00:00:00-04:00,43.00889205932617,45.1353734443125,42.230176972389806,45.10542418233821,137952500,0.0,0.0,0.0
2026-03-23 00:00:00-04:00,44.496429443359375,46.07382321668865,44.05715710809829,45.03553899690739,139354300,0.0,0.0,0.0
2026-03-24 00:00:00-04:00,43.547996520996094,44.476461698575825,43.11870600626996,43.76763459133982,105505200,0.0,0.0,0.0
2026-03-25 00:00:00-04:00,44.38999938964844,45.220001220703125,43.95000076293945,44.70000076293945,79294400,0.072,0.0,0.0
2026-03-26 00:00:00-04:00,41.22999954223633,43.68000030517578,41.150001525878906,43.22999954223633,117558900,0.0,0.0,0.0
2026-03-27 00:00:00-04:00,38.779998779296875,40.59000015258789,38.560001373291016,40.560001373291016,124795700,0.0,0.0,0.0
2026-03-30 00:00:00-04:00,37.88999938964844,39.90999984741211,37.31999969482422,39.75,111446500,0.0,0.0,0.0
2026-03-31 00:00:00-04:00,41.68000030517578,42.0,39.06999969482422,39.09000015258789,149516200,0.0,0.0,0.0
2026-04-01 00:00:00-04:00,43.22999954223633,43.97999954223633,42.40999984741211,42.630001068115234,116135500,0.0,0.0,0.0
2026-04-02 00:00:00-04:00,43.33000183105469,43.54999923706055,40.439998626708984,40.880001068115234,111377300,0.0,0.0,0.0
2026-04-06 00:00:00-04:00,44.099998474121094,44.59000015258789,43.27000045776367,43.599998474121094,69245100,0.0,0.0,0.0
2026-04-07 00:00:00-04:00,44.150001525878906,44.209999084472656,41.84000015258789,43.45000076293945,131796200,0.0,0.0,0.0
2026-04-08 00:00:00-04:00,48.0,48.91999816894531,47.150001525878906,48.63999938964844,102015100,0.0,0.0,0.0
2026-04-09 00:00:00-04:00,48.959999084472656,49.09000015258789,47.310001373291016,48.02000045776367,78953600,0.0,0.0,0.0
2026-04-10 00:00:00-04:00,49.16999816894531,49.810001373291016,48.81999969482422,49.36000061035156,65481600,0.0,0.0,0.0
2026-04-13 00:00:00-04:00,50.65999984741211,50.7400016784668,48.459999084472656,48.779998779296875,67169100,0.0,0.0,0.0
2026-04-14 00:00:00-04:00,53.40999984741211,53.43000030517578,51.380001068115234,51.38999938964844,72362300,0.0,0.0,0.0
2026-04-15 00:00:00-04:00,55.650001525878906,55.7400016784668,53.33000183105469,53.56999969482422,83244000,0.0,0.0,0.0
2026-04-16 00:00:00-04:00,56.43000030517578,56.91999816894531,55.099998474121094,56.130001068115234,86398100,0.0,0.0,0.0
2026-04-17 00:00:00-04:00,58.59000015258789,58.939998626708984,57.369998931884766,57.779998779296875,103604000,0.0,0.0,0.0
2026-04-20 00:00:00-04:00,58.08000183105469,58.58000183105469,56.90999984741211,58.400001525878906,67652800,0.0,0.0,0.0
2026-04-21 00:00:00-04:00,57.400001525878906,58.970001220703125,56.81999969482422,58.47999954223633,91775200,0.0,0.0,0.0
2026-04-22 00:00:00-04:00,60.209999084472656,60.29999923706055,58.4900016784668,58.93000030517578,73399800,0.0,0.0,0.0
2026-04-23 00:00:00-04:00,59.220001220703125,60.72999954223633,57.59000015258789,59.79999923706055,92856900,0.0,0.0,0.0
2026-04-24 00:00:00-04:00,62.560001373291016,62.7400016784668,60.560001373291016,61.08000183105469,80250700,0.0,0.0,0.0
2026-04-27 00:00:00-04:00,62.63999938964844,62.70000076293945,61.63999938964844,62.40999984741211,56615000,0.0,0.0,0.0
2026-04-28 00:00:00-04:00,60.7400016784668,61.33000183105469,59.68000030517578,60.720001220703125,80631600,0.0,0.0,0.0
2026-04-29 00:00:00-04:00,61.86000061035156,61.869998931884766,60.45000076293945,61.0,77081400,0.0,0.0,0.0
2026-04-30 00:00:00-04:00,63.540000915527344,63.79999923706055,60.70000076293945,62.88999938964844,81042700,0.0,0.0,0.0
2026-05-01 00:00:00-04:00,65.30000305175781,65.83999633789062,63.810001373291016,63.88999938964844,67762900,0.0,0.0,0.0
2026-05-04 00:00:00-04:00,64.91000366210938,66.05000305175781,63.779998779296875,65.44000244140625,60813800,0.0,0.0,0.0
2026-05-05 00:00:00-04:00,67.38999938964844,67.7699966430664,66.25,66.37000274658203,54098800,0.0,0.0,0.0
2026-05-06 00:00:00-04:00,71.56999969482422,71.66000366210938,68.87999725341797,69.26000213623047,70169000,0.0,0.0,0.0
2026-05-07 00:00:00-04:00,71.33999633789062,73.30000305175781,70.37999725341797,71.87000274658203,93509100,0.0,0.0,0.0
2026-05-08 00:00:00-04:00,76.27999877929688,76.30999755859375,72.69999694824219,72.81999969482422,68713700,0.0,0.0,0.0
2026-05-11 00:00:00-04:00,76.95999908447266,77.36000061035156,75.55000305175781,76.0,60475000,0.0,0.0,0.0
2026-05-12 00:00:00-04:00,74.95999908447266,75.93000030517578,71.55000305175781,75.30000305175781,90651600,0.0,0.0,0.0
2026-05-13 00:00:00-04:00,77.23999786376953,77.94000244140625,74.19000244140625,75.80999755859375,64416400,0.0,0.0,0.0
2026-05-14 00:00:00-04:00,78.94999694824219,79.68000030517578,77.16000366210938,77.29000091552734,58472800,0.0,0.0,0.0
2026-05-15 00:00:00-04:00,75.33999633789062,77.37000274658203,74.2300033569336,75.7300033569336,81260600,0.0,0.0,0.0
2026-05-18 00:00:00-04:00,74.31999969482422,76.2699966430664,72.0999984741211,76.12999725341797,87710100,0.0,0.0,0.0
2026-05-19 00:00:00-04:00,72.93000030517578,74.5,70.95999908447266,72.41000366210938,85973700,0.0,0.0,0.0
2026-05-20 00:00:00-04:00,76.51000213623047,76.52999877929688,73.62000274658203,74.08999633789062,70647500,0.0,0.0,0.0
2026-05-21 00:00:00-04:00,76.94999694824219,77.79000091552734,74.47000122070312,75.18000030517578,74958100,0.0,0.0,0.0
2026-05-22 00:00:00-04:00,77.83999633789062,79.33000183105469,77.33000183105469,78.04000091552734,58330500,0.0,0.0,0.0
2026-05-26 00:00:00-04:00,81.94999694824219,82.2699966430664,79.9800033569336,80.58999633789062,62579600,0.0,0.0,0.0
2026-05-27 00:00:00-04:00,81.66999816894531,82.91000366210938,80.33000183105469,82.87000274658203,66221000,0.0,0.0,0.0
2026-05-28 00:00:00-04:00,83.68000030517578,84.05000305175781,80.66000366210938,81.73999786376953,55265900,0.0,0.0,0.0
2026-05-29 00:00:00-04:00,84.55999755859375,85.69999694824219,83.52999877929688,84.41000366210938,67644100,0.0,0.0,0.0
2026-06-01 00:00:00-04:00,86.04000091552734,87.05999755859375,83.75,84.1500015258789,57216000,0.0,0.0,0.0
2026-06-02 00:00:00-04:00,87.22000122070312,87.31999969482422,84.83000183105469,85.94000244140625,48355000,0.0,0.0,0.0
2026-06-03 00:00:00-04:00,86.55999755859375,88.08999633789062,85.41000366210938,87.68000030517578,62154500,0.0,0.0,0.0
2026-06-04 00:00:00-04:00,85.22000122070312,86.25,82.4800033569336,83.47000122070312,59614600,0.0,0.0,0.0
2026-06-05 00:00:00-04:00,73.05000305175781,82.08000183105469,72.68000030517578,81.56999969482422,118961300,0.0,0.0,0.0
2026-06-08 00:00:00-04:00,76.2699966430664,78.47000122070312,75.37999725341797,76.86000061035156,77319000,0.0,0.0,0.0
2026-06-09 00:00:00-04:00,73.72000122070312,79.33999633789062,66.79000091552734,78.4800033569336,132485700,0.0,0.0,0.0
2026-06-10 00:00:00-04:00,69.2699966430664,74.69999694824219,69.0,71.68000030517578,91465200,0.0,0.0,0.0
2026-06-11 00:00:00-04:00,76.01000213623047,76.5999984741211,69.58999633789062,70.88999938964844,116288800,0.0,0.0,0.0
2026-06-12 00:00:00-04:00,77.5199966430664,78.36000061035156,74.29000091552734,76.33999633789062,94070700,0.0,0.0,0.0
2026-06-15 00:00:00-04:00,84.58999633789062,85.02999877929688,82.63999938964844,82.87999725341797,59758000,0.0,0.0,0.0
2026-06-16 00:00:00-04:00,79.93000030517578,84.83000183105469,79.86000061035156,84.19000244140625,67086700,0.0,0.0,0.0
2026-06-17 00:00:00-04:00,77.54000091552734,81.80999755859375,76.94000244140625,81.66999816894531,78089600,0.0,0.0,0.0
2026-06-18 00:00:00-04:00,82.87000274658203,83.5999984741211,80.62999725341797,82.0999984741211,61063000,0.0,0.0,0.0
2026-06-22 00:00:00-04:00,82.58000183105469,85.11000061035156,81.38999938964844,83.94999694824219,61888900,0.0,0.0,0.0
2026-06-23 00:00:00-04:00,74.44000244140625,77.73999786376953,73.91000366210938,75.12000274658203,82341800,0.0,0.0,0.0
2026-06-24 00:00:00-04:00,73.30000305175781,76.18000030517578,71.3499984741211,74.77999877929688,61497710,0.0,0.0,0.0
