Date,Close,High,Low,Open,Volume,Dividends,Stock Splits
2026-03-02 00:00:00-05:00,,,,,0,1.08,0.0
2026-03-03 00:00:00-05:00,212.49058532714844,213.68429373590362,208.79007863482926,209.0387685191043,1545500,0.0,0.0
2026-03-04 00:00:00-05:00,213.05760192871094,214.0026356832852,209.27752762572098,213.22672441655973,1232900,0.0,0.0
2026-03-05 00:00:00-05:00,210.51101684570312,212.74922589414652,208.50161342874463,210.13301852801254,1537800,0.0,0.0
2026-03-06 00:00:00-05:00,211.2073516845703,211.72461571383818,206.38276186994528,210.18273539935203,950300,0.0,0.0
2026-03-09 00:00:00-04:00,206.6016082763672,210.5309053662635,204.68171449919382,210.19269077051717,1407700,0.0,0.0
2026-03-10 00:00:00-04:00,206.41261291503906,209.27752536356627,205.11942242486626,205.98487358134105,1099800,0.0,0.0
2026-03-11 00:00:00-04:00,204.5126190185547,206.571778641126,203.24928527694618,205.18906342795975,1401400,0.0,0.0
2026-03-12 00:00:00-04:00,203.95555114746094,207.02935454155116,201.96603202965605,202.44351236785786,1387400,0.0,0.0
2026-03-13 00:00:00-04:00,205.08956909179688,207.46704374526703,204.850821341834,206.40265894835397,950400,0.0,0.0
2026-03-16 00:00:00-04:00,206.72097778320312,209.0686109070776,205.90528285258605,205.90528285258605,1416200,0.0,0.0
2026-03-17 00:00:00-04:00,206.18382263183594,211.03823906617058,205.9251754262919,209.95395476565227,1369400,0.0,0.0
2026-03-18 00:00:00-04:00,203.3089599609375,206.44244644531616,203.12989535046745,205.9251672336345,1352700,0.0,0.0
2026-03-19 00:00:00-04:00,203.00059509277344,206.2037069808444,202.18488495006554,205.48749404664878,1443000,0.0,0.0
2026-03-20 00:00:00-04:00,204.54244995117188,205.99480554542893,202.26445730337326,202.99062751108886,3378900,0.0,0.0
2026-03-23 00:00:00-04:00,206.67123413085938,208.630911615875,205.4277847205107,208.36233747199427,1352400,0.0,0.0
2026-03-24 00:00:00-04:00,206.22360229492188,209.19793884860218,206.02465341835918,206.75082364828484,1298100,0.0,0.0
2026-03-25 00:00:00-04:00,203.63723754882812,207.58641906354418,203.1299004554345,206.32308534277018,1507700,0.0,0.0
2026-03-26 00:00:00-04:00,206.0743865966797,206.12412760863566,202.92100072764146,204.00528496568293,972100,0.0,0.0
2026-03-27 00:00:00-04:00,201.64772033691406,208.30264915037972,200.553478731744,208.30264915037972,1288300,0.0,0.0
2026-03-30 00:00:00-04:00,206.18382263183594,207.95449347194935,202.35399217293715,203.47807535684373,1128100,0.0,0.0
2026-03-31 00:00:00-04:00,206.25344848632812,207.78538674570248,203.05032141181087,207.0890428938996,1442400,0.0,0.0
2026-04-01 00:00:00-04:00,203.03042602539062,205.75605742154266,202.35398165239815,204.97020407198718,1659900,0.0,0.0
2026-04-02 00:00:00-04:00,205.945068359375,206.75082116601703,203.09011330897022,203.88592398449268,1383100,0.0,0.0
2026-04-06 00:00:00-04:00,207.26809692382812,207.40736265130906,204.85082336540614,204.97020483097972,798700,0.0,0.0
2026-04-07 00:00:00-04:00,209.42672729492188,209.70525875521125,206.20370088165404,207.41730874955468,1384200,0.0,0.0
2026-04-08 00:00:00-04:00,210.9586639404297,211.22723808875674,208.1832763104417,208.89950439696594,1150700,0.0,0.0
2026-04-09 00:00:00-04:00,213.3958282470703,215.0172760324751,209.29740847708288,209.80474557470578,1060600,0.0,0.0
2026-04-10 00:00:00-04:00,209.8843231201172,213.19687424625243,207.20841749943932,212.9083854763332,1017300,0.0,0.0
2026-04-13 00:00:00-04:00,213.96282958984375,214.11205263077156,209.1581391054331,209.56599416694561,1017000,0.0,0.0
